text,label
This file extracts credentials from LSASS similar to Mimikatz.,T1003.001
"It calls OpenProcess on lsass.exe with access flag set to VM_READ, and looks for the modules wdigest.dll and lsasrv.dll loaded in the lsass.exe process.",T1003.001
SMB copy and remote execution,T1570
This thread is then used to execute the SMB copy and remote execution,T1570
SMB copy and remote execution,T1570
SMB Copy and Remote Execution,T1570
The malware decompresses its resource named,T1140
The malware decompresses a resource,T1140
This is used as an integrity check for the decryption process.,T1140
"decrypt the MFT,",T1140
the code attempts to decrypt the contents,T1140
"Once the sector is decrypted,",T1140
and the same key is used to decrypt the MFT.,T1140
"is also decoded, and placed back",T1140
its resource section are decompressed and written to disk,T1140
The malware is a DLL that is launched using rundll32.exe:,T1218.011
being invoked by rundll32.exe.,T1218.011
Command Line Execution,T1059.003
Once the command line arguments are generated,T1059.003
The malware also spawns cmd.exe to execute the following command,T1059.003
that hashes each running process on the system,T1057
Process Hashes and Process Privilege Checks,T1057
to track which of the 3 processes are running on the system.,T1057
compares each hash with 3 hardcoded hashes: 0x6403527E → avp.exe associated with Kaspersky AV 0x23214B44 → ns.exe associated with Norton Security 0x651B3005 → ccSvcHst.exe associated with Symantec,T1518.001
using the API NtRaiseHardError,T1106
invokes the following API’s:,T1106
GetExtendedTcpTable to retrieve a list of TCP endpoints GetIpNetTable to retrieve,T1106
NetServerEnum to get a list,T1106
NetServerGetInfoto retrieve the current configuration,T1106
CreateFile and WriteFile are used,T1106
"CreateProcessAsUser or CreateProcess is executed,",T1106
Calls CryptEncrypt,T1106
it also invokes the API NTRaiseHardError.,T1106
undocumented Windows API that causes,T1106
"If the API fails to execute, the malware calls InitiateSystemShutdownExW",T1106
NetServerGetInfoto retrieve the current configuration for the local server,T1082
Obtains the IP address from the ClientIpAddress field,T1016
There are two approaches to using valid credentials to copy and execute the malware to a remote host:,T1078
is used to connect to a server using the default credentials,T1078
WMIC,T1047
C:\Windows\system32\wbem\wmic.exe /node,T1047
encodes it using XOR encoding with key,T1027
contains the original MBR that was encoded by XORing,T1027
which were previously encrypted,T1027
the original encoded MBR,T1027
"obtain keystrokes, and status of keyboard buffer",T1056.001
The malware only targets fixed drives on the system.,T1083
The malware will first start enumerating files in the directory it is being executed from.,T1083
the scheduled task is set to trigger 60 minutes after the malware execution by default.,T1053.005
the scheduled task will trigger 30 minutes after the malware execution.,T1053.005
Explanation of schtask parameters,T1053.005
taskrun. Path and filename of the task to be run,T1053.005
"For instance, immediately after execution, it loads itself in memory, and deletes itself from the disk.",T1027
delete important files,T1070.004
the configuration file will be deleted,T1070.004
threat actors use Themida packer to obfuscate the signature used for detection.,T1027
packed by noted tools,T1027
Themida-packed,T1027
upload/download file,T1105
remote she will functions.,T1059.003
"It supports proxy (Socks5),",T1090
with SOCKS v5 server,T1090
used to dump information from the victim’s Oracle database.,T1005
an information stealer used to harvest internal information.,T1005
Obfuscated PowerShell script,T1027
multi-layer obfuscation,T1027
to obfuscate their tools,T1027
have adopted more obfuscation techniques,T1027
Heavily obfuscated PowerShell script,T1027
the encrypted payload,T1027
the encrypted payload,T1027
to obfuscate control flow of program.,T1027
Heavy obfuscation in a simple but useful anti-analysis approach makes it difficult for security products to detect their scripts.,T1027
threat actors use multi-layered AES encryption and base64 encoding to obfuscate,T1027
obfuscate the execution flow of the program,T1027
the decryption algorithm,T1140
decrypted with RC4 algorithm,T1140
usage of a highly similar decryption algorithm,T1140
to decrypt the payload,T1140
decrypt it,T1140
the decryption function into RC4,T1140
they always have used DLL sideloading as their major technique to launch their malware.,T1574.002
adopted DLL sideloading techniques to run their malware.,T1574.002
