"Time","No.","Source","Destination","Protocol","Length","Info"
"0.000000","1","13.127.247.216","192.168.232.2","TCP","54","80  >  37476 [RST, ACK] Seq=1 Ack=1 Win=8192 Len=0"
"0.187979","2","192.168.232.2","10.0.2.3","DNS","74","Standard query 0x67d0 A api.m.the9.com"
"1.130890","3","211.103.153.23","192.168.232.2","TCP","58","80  >  56990 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"1.131619","4","192.168.232.2","211.103.153.23","TCP","54","56990  >  80 [RST] Seq=1 Win=0 Len=0"
"1.881682","5","02:00:00:00:01:00","02:00:00:44:55:66","ARP","42","Who has 192.168.232.2? Tell 192.168.232.1"
"1.882135","6","02:00:00:44:55:66","02:00:00:00:01:00","ARP","42","192.168.232.2 is at 02:00:00:44:55:66"
"2.653095","7","211.103.153.23","192.168.232.2","HTTP","774","HTTP/1.1 200 OK  (text/json)"
"2.653729","8","192.168.232.2","211.103.153.23","TCP","54","56989  >  80 [RST] Seq=1 Win=0 Len=0"
"2.653178","9","211.103.153.23","192.168.232.2","TCP","54","80  >  56989 [RST, ACK] Seq=721 Ack=1 Win=8760 Len=0"
"5.193896","10","192.168.232.2","10.0.2.3","DNS","74","Standard query 0x64af AAAA api.m.the9.com"
"5.194295","11","192.168.232.2","10.0.2.3","DNS","74","Standard query 0x3d1a A api.m.the9.com"
"5.572501","12","192.168.232.2","10.0.2.3","DNS","87","Standard query 0x19b1 AAAA analytics.seattleclouds.com"
"5.684618","13","192.168.232.2","142.250.196.46","TLSv1.2","630","Application Data"
"5.685069","14","142.250.196.46","192.168.232.2","TCP","54","443  >  44618 [ACK] Seq=1 Ack=577 Win=8760 Len=0"
"5.851387","15","142.250.196.46","192.168.232.2","TLSv1.2","514","Application Data"
"5.851625","16","192.168.232.2","142.250.196.46","TCP","54","44618  >  443 [ACK] Seq=577 Ack=461 Win=65535 Len=0"
"5.854859","17","142.250.196.46","192.168.232.2","TLSv1.2","292","Application Data, Application Data"
"5.855101","18","192.168.232.2","142.250.196.46","TCP","54","44618  >  443 [ACK] Seq=577 Ack=699 Win=65535 Len=0"
"6.013735","19","192.168.232.2","10.0.2.3","DNS","82","Standard query 0x562f AAAA push.seattleclouds.com"
"6.092478","20","192.168.232.2","10.0.2.3","DNS","75","Standard query 0x7e6a AAAA media.admob.com"
"6.172018","21","10.0.2.3","192.168.232.2","DNS","218","Standard query response 0x7e6a AAAA media.admob.com CNAME adwords.l.google.com AAAA 2404:6800:4003:c04::8b AAAA 2404:6800:4003:c04::8a AAAA 2404:6800:4003:c04::65 AAAA 2404:6800:4003:c04::66"
"6.172886","22","192.168.232.2","10.0.2.3","DNS","75","Standard query 0x485d A media.admob.com"
"6.211874","23","10.0.2.3","192.168.232.2","DNS","202","Standard query response 0x485d A media.admob.com CNAME adwords.l.google.com A 142.251.10.101 A 142.251.10.100 A 142.251.10.113 A 142.251.10.102 A 142.251.10.138 A 142.251.10.139"
"6.212776","24","192.168.232.2","142.251.10.101","TCP","74","55679  >  80 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=709916 TSecr=0 WS=64"
"6.296406","25","142.251.10.101","192.168.232.2","TCP","58","80  >  55679 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460"
"6.296618","26","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"6.297026","27","192.168.232.2","142.251.10.101","HTTP","493","GET /sdk-core-v40.js HTTP/1.1 "
"6.297275","28","142.251.10.101","192.168.232.2","TCP","54","80  >  55679 [ACK] Seq=1 Ack=440 Win=8760 Len=0"
"6.418086","29","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=1 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.418638","30","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=1307 Win=65535 Len=0"
"6.418226","31","142.251.10.101","192.168.232.2","TCP","1360","80  >  55679 [PSH, ACK] Seq=1307 Ack=440 Win=8760 Len=1306 [TCP segment of a reassembled PDU]"
"6.418746","32","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=2613 Win=65535 Len=0"
"6.419169","33","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=2613 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.419357","34","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=4053 Win=65535 Len=0"
"6.419210","35","142.251.10.101","192.168.232.2","TCP","1226","80  >  55679 [PSH, ACK] Seq=4053 Ack=440 Win=8760 Len=1172 [TCP segment of a reassembled PDU]"
"6.419423","36","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=5225 Win=65535 Len=0"
"6.419215","37","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=5225 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.419483","38","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=6665 Win=65535 Len=0"
"6.419221","39","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=6665 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.419544","40","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=8105 Win=65535 Len=0"
"6.419813","41","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=8105 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.419939","42","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=9545 Win=65535 Len=0"
"6.419843","43","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [PSH, ACK] Seq=9545 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.420030","44","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=10985 Win=65535 Len=0"
"6.419849","45","142.251.10.101","192.168.232.2","TCP","1494","80  >  55679 [ACK] Seq=10985 Ack=440 Win=8760 Len=1440 [TCP segment of a reassembled PDU]"
"6.420094","46","192.168.232.2","142.251.10.101","TCP","54","55679  >  80 [ACK] Seq=440 Ack=12425 Win=65535 Len=0"
