No.,Time,Source,Destination,Info,Protocol,Length
1,1679479435.061298,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 13.127.247.216:http > 192.168.232.2:37476 RA,Ethernet,54
2,1679479435.249277,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'api.m.the9.com.'"" ",Ethernet,74
3,1679479436.192188,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 211.103.153.23:http > 192.168.232.2:56990 SA,Ethernet,58
4,1679479436.192917,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:56990 > 211.103.153.23:http R,Ethernet,54
5,1679479436.942980,02:00:00:00:01:00,02:00:00:44:55:66,Ether / ARP who has 192.168.232.2 says 192.168.232.1,Ethernet,42
6,1679479436.943433,02:00:00:44:55:66,02:00:00:00:01:00,Ether / ARP is at 02:00:00:44:55:66 says 192.168.232.2,Ethernet,42
7,1679479437.714393,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 211.103.153.23:http > 192.168.232.2:56989 PA / Raw,Ethernet,774
8,1679479437.715027,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:56989 > 211.103.153.23:http R,Ethernet,54
9,1679479437.714476,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 211.103.153.23:http > 192.168.232.2:56989 RA,Ethernet,54
10,1679479440.255194,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'api.m.the9.com.'"" ",Ethernet,74
11,1679479440.255593,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'api.m.the9.com.'"" ",Ethernet,74
12,1679479440.633799,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'analytics.seattleclouds.com.'"" ",Ethernet,87
13,1679479440.745916,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:44618 > 142.250.196.46:https PA / Raw,Ethernet,630
14,1679479440.746367,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.250.196.46:https > 192.168.232.2:44618 A,Ethernet,54
15,1679479440.912685,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.250.196.46:https > 192.168.232.2:44618 PA / Raw,Ethernet,514
16,1679479440.912923,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:44618 > 142.250.196.46:https A,Ethernet,54
17,1679479440.916157,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.250.196.46:https > 192.168.232.2:44618 PA / Raw,Ethernet,292
18,1679479440.916399,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:44618 > 142.250.196.46:https A,Ethernet,54
19,1679479441.075033,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'push.seattleclouds.com.'"" ",Ethernet,82
20,1679479441.153776,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'media.admob.com.'"" ",Ethernet,75
21,1679479441.233316,02:00:00:00:01:00,02:00:00:44:55:66,"Ether / IP / UDP / DNS Ans ""b'adwords.l.google.com.'"" ",Ethernet,218
22,1679479441.234184,02:00:00:44:55:66,02:00:00:00:01:00,"Ether / IP / UDP / DNS Qry ""b'media.admob.com.'"" ",Ethernet,75
23,1679479441.273172,02:00:00:00:01:00,02:00:00:44:55:66,"Ether / IP / UDP / DNS Ans ""b'adwords.l.google.com.'"" ",Ethernet,202
24,1679479441.274074,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http S,Ethernet,74
25,1679479441.357704,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 SA,Ethernet,58
26,1679479441.357916,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
27,1679479441.358324,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http PA / Raw,Ethernet,493
28,1679479441.358573,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A,Ethernet,54
29,1679479441.479384,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
30,1679479441.479936,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
31,1679479441.479524,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
32,1679479441.480044,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
33,1679479441.480467,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
34,1679479441.480655,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
35,1679479441.480508,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1226
36,1679479441.480721,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
37,1679479441.480513,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
38,1679479441.480781,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
39,1679479441.480519,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
40,1679479441.480842,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
41,1679479441.481111,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
42,1679479441.481237,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
43,1679479441.481141,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1494
44,1679479441.481328,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
45,1679479441.481147,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 A / Raw,Ethernet,1494
46,1679479441.481392,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
47,1679479441.481151,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,690
48,1679479441.481434,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
49,1679479441.557897,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
50,1679479441.558148,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
51,1679479441.557950,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
52,1679479441.558241,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
53,1679479441.574960,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
54,1679479441.575155,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
55,1679479441.574997,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
56,1679479441.575260,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
57,1679479441.575300,02:00:00:00:01:00,02:00:00:44:55:66,Ether / IP / TCP 142.251.10.101:http > 192.168.232.2:55679 PA / Raw,Ethernet,1360
58,1679479441.575337,02:00:00:44:55:66,02:00:00:00:01:00,Ether / IP / TCP 192.168.232.2:55679 > 142.251.10.101:http A,Ethernet,54
