id,as_owner,country,reputation,asn,malicious,suspicious,undetected,harmless,status
,AMAZON-02,IE,0,16509,0,0,89,0,unknown
,TIM SA,BR,0,26615,0,0,89,0,unknown
,China Telecom Group,CN,0,4812,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,GTT Communications Inc.,US,0,3257,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,Vodafone Idea Ltd,IN,0,55410,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,IONOS SE,DE,0,8560,0,0,89,0,unknown
,Vodafone GmbH,DE,0,3209,0,0,89,0,unknown
,Akamai International B.V.,NL,0,20940,0,0,89,0,unknown
,Equinix (EMEA) Acquisition Enterprises B.V.,NL,0,15830,0,0,89,0,unknown
,ISP Alliance a.s.,CZ,0,47232,0,0,88,1,unknown
,GOOGLE,US,0,15169,0,0,34,55,benign
,AMAZON-02,IE,0,16509,0,0,89,0,unknown
,GTT Communications Inc.,US,0,3257,0,0,89,0,unknown
,GLOBALNET-AS,TN,0,37671,0,0,89,0,unknown
,MTS PJSC,RU,0,8359,0,0,89,0,unknown
,AKAMAI-AS,GB,0,16625,0,0,89,0,unknown
,Central Telegraph Public Joint-stock Company,RU,0,8615,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,24,65,benign
,,TR,0,,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,89,0,unknown
,Orange,FR,0,3215,0,0,89,0,unknown
,China Unicom Beijing Province Network,CN,0,4808,0,0,89,0,unknown
,CERNET-ASN-BLOCK,US,0,4264,0,0,89,0,unknown
,Voxility LLP,GB,0,3223,4,0,21,64,benign
,,NL,0,,0,0,25,64,benign
,Buroserv Australia Pty Ltd,AU,0,38835,0,0,89,0,unknown
,COMCAST-7922,US,0,7922,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,JSC RetnNet,RU,0,57304,0,0,89,0,unknown
,Akamai International B.V.,US,0,20940,0,0,89,0,unknown
,AKAMAI-AS,US,0,16625,0,0,89,0,unknown
,myLoc managed IT AG,DE,0,24961,0,0,23,66,benign
,BACOM,CA,0,577,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,AMAZON-02,US,0,16509,0,0,24,65,benign
,Orion Telecomunicacoes Comercio e Servicos LTDA,BR,0,28308,0,0,89,0,unknown
,UNINET,MX,0,8151,0,0,89,0,unknown
,INFOnline GmbH,DE,0,43407,0,0,23,66,benign
,Saudi Telecom Company JSC,SA,0,39891,1,0,24,64,benign
,National Internet Backbone,IN,0,9829,0,0,89,0,unknown
,GOOGLE,US,0,15169,0,0,89,0,unknown
,INTERNAP-BLOCK-4,US,0,14743,0,0,89,0,unknown
,EATEL,US,0,5009,0,0,89,0,unknown
,Wow Solutions and Systems Pvt Ltd,IN,0,133590,0,0,89,0,unknown
,AMAZON-AES,US,0,14618,0,0,89,0,unknown
,COGECO-PEER1,US,0,13768,0,0,89,0,unknown
,MTS PJSC,RU,0,29190,0,0,89,0,unknown
,Networx-Bulgaria Ltd.,BG,0,34569,0,0,89,0,unknown
,Telesat d.o.o.,BA,0,57888,0,0,89,0,unknown
,,US,0,,0,0,89,0,unknown
,LEVEL3,US,0,3356,0,0,89,0,unknown
,Syscon Infoway Pvt. Ltd.,IN,0,45194,0,0,89,0,unknown
,AMAZON-02,IE,0,16509,0,0,89,0,unknown
