ip,as_owner,country,reputation,asn,malicious,suspicious,undetected,harmless,status
52.48.22.61,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
179.34.21.87,TIM SA,BR,0,26615.0,0,0,90,0,unknown
114.92.69.153,China Telecom Group,CN,0,4812.0,0,0,90,0,unknown
173.194.65.127,GOOGLE,US,0,15169.0,0,0,90,0,unknown
74.125.21.157,GOOGLE,US,0,15169.0,0,0,90,0,unknown
173.194.50.217,GOOGLE,US,0,15169.0,0,0,90,0,unknown
194.122.81.32,GTT Communications Inc.,US,0,3257.0,0,0,90,0,unknown
54.231.113.203,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
182.19.13.234,Vodafone Idea Ltd,IN,0,55410.0,0,0,90,0,unknown
216.58.198.134,GOOGLE,US,0,15169.0,0,0,90,0,unknown
217.160.127.33,IONOS SE,DE,0,8560.0,0,0,90,0,unknown
195.50.183.10,Vodafone GmbH,DE,0,3209.0,0,0,90,0,unknown
92.122.122.161,Akamai International B.V.,NL,0,20940.0,0,0,90,0,unknown
80.252.91.24,Equinix (EMEA) Acquisition Enterprises B.V.,NL,0,15830.0,0,0,90,0,unknown
93.91.150.8,ISP Alliance a.s.,CZ,0,47232.0,0,0,89,1,unknown
173.194.112.119,GOOGLE,US,0,15169.0,0,0,35,55,benign
52.17.150.30,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
194.122.81.39,GTT Communications Inc.,US,0,3257.0,0,0,90,0,unknown
197.15.221.193,GLOBALNET-AS,TN,0,37671.0,0,0,90,0,unknown
195.34.30.195,MTS PJSC,RU,0,8359.0,0,0,90,0,unknown
2.22.139.27,AKAMAI-AS,GB,0,16625.0,0,0,90,0,unknown
79.165.95.133,Central Telegraph Public Joint-stock Company,RU,0,8615.0,0,0,90,0,unknown
52.89.158.125,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
173.194.65.156,GOOGLE,US,0,15169.0,0,0,25,65,benign
46.1.72.160,,TR,0,,0,0,90,0,unknown
54.230.10.193,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
86.197.250.252,Orange,FR,0,3215.0,0,0,90,0,unknown
111.206.20.50,China Unicom Beijing Province Network,CN,0,4808.0,0,0,90,0,unknown
12.130.81.226,CERNET-ASN-BLOCK,US,0,4264.0,0,0,90,0,unknown
93.115.95.201,Voxility LLP,GB,0,3223.0,4,0,22,64,benign
94.46.159.11,,NL,0,,0,0,26,64,benign
103.241.40.127,Buroserv Australia Pty Ltd,AU,0,38835.0,0,0,90,0,unknown
50.161.233.180,COMCAST-7922,US,0,7922.0,0,0,90,0,unknown
23.23.95.214,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
87.245.197.35,JSC RetnNet,RU,0,57304.0,0,0,90,0,unknown
23.78.109.102,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
23.48.88.158,AKAMAI-AS,US,0,16625.0,0,0,90,0,unknown
217.79.188.8,myLoc managed IT AG,DE,0,24961.0,0,0,24,66,benign
70.48.65.90,BACOM,CA,0,577.0,0,0,90,0,unknown
74.125.22.189,GOOGLE,US,0,15169.0,0,0,90,0,unknown
54.239.17.6,AMAZON-02,US,0,16509.0,0,0,25,65,benign
189.36.202.22,Orion Telecomunicacoes Comercio e Servicos LTDA,BR,0,28308.0,0,0,90,0,unknown
189.170.50.98,UNINET,MX,0,8151.0,0,0,90,0,unknown
91.215.100.40,INFOnline GmbH,DE,0,43407.0,0,0,24,66,benign
77.31.231.143,Saudi Telecom Company JSC,SA,0,39891.0,1,0,25,64,benign
117.195.218.30,National Internet Backbone,IN,0,9829.0,0,0,90,0,unknown
216.58.216.66,GOOGLE,US,0,15169.0,0,0,90,0,unknown
70.42.185.101,INTERNAP-BLOCK-4,US,0,14743.0,0,0,90,0,unknown
209.124.206.147,EATEL,US,0,5009.0,0,0,90,0,unknown
103.36.79.186,Wow Solutions and Systems Pvt Ltd,IN,0,133590.0,0,0,90,0,unknown
23.21.41.28,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
64.34.191.190,COGECO-PEER1,US,0,13768.0,0,0,90,0,unknown
5.227.216.218,MTS PJSC,RU,0,29190.0,0,0,90,0,unknown
77.78.0.20,Networx-Bulgaria Ltd.,BG,0,34569.0,0,0,90,0,unknown
93.157.192.86,Telesat d.o.o.,BA,0,57888.0,0,0,90,0,unknown
54.239.192.52,,US,0,,0,0,90,0,unknown
8.30.11.13,LEVEL3,US,0,3356.0,0,0,90,0,unknown
45.124.51.22,Syscon Infoway Pvt. Ltd.,IN,0,45194.0,0,0,90,0,unknown
52.19.77.193,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
54.231.96.225,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
74.125.226.32,GOOGLE,US,0,15169.0,0,0,90,0,unknown
186.226.185.250,IVI TECNOLOGIA E COMUNICACAO LTDA,BR,0,262999.0,0,0,26,64,benign
195.138.255.19,Core-Backbone GmbH,DE,0,201011.0,0,0,25,65,benign
196.43.182.228,RENU,UG,0,327687.0,0,0,90,0,unknown
198.41.187.222,,US,0,,0,0,90,0,unknown
54.239.192.124,,US,0,,0,0,90,0,unknown
23.205.222.98,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
74.119.118.67,AS-CRITEO,US,0,19750.0,0,0,90,0,unknown
41.66.38.17,ORANGE-COTE-IVOIRE,CI,0,29571.0,0,0,90,0,unknown
37.252.162.77,ASN-APPNEX,NL,0,29990.0,0,0,90,0,unknown
83.246.169.22,Joint Stock Company TransTeleCom,RU,0,31364.0,0,0,90,0,unknown
173.194.116.160,GOOGLE,US,0,15169.0,0,0,90,0,unknown
77.93.39.12,Seech-Infocom Ltd.,UA,0,43022.0,0,0,90,0,unknown
41.215.218.103,CV-Multimedia,CV,0,37517.0,0,0,90,0,unknown
216.58.213.238,GOOGLE,US,0,15169.0,0,0,24,66,benign
91.216.195.218,Weborama SA,FR,0,12516.0,0,0,26,64,benign
104.92.243.122,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
54.230.99.199,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
69.63.5.96,SSTC-NET-1,US,0,30325.0,0,0,90,0,unknown
201.250.185.204,Telefonica de Argentina,AR,0,22927.0,0,0,90,0,unknown
52.3.43.161,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
37.232.173.233,PJSC MegaFon,RU,0,12714.0,0,0,90,0,unknown
86.120.211.236,RCS & RDS,RO,0,8708.0,0,0,90,0,unknown
173.194.112.13,GOOGLE,US,0,15169.0,0,0,90,0,unknown
68.66.82.128,PLATEAU,US,0,21782.0,0,0,90,0,unknown
50.18.188.27,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
68.229.163.135,ASN-CXA-ALL-CCI-22773-RDC,US,0,22773.0,0,0,90,0,unknown
185.63.147.10,,US,0,,0,0,34,56,benign
77.6.214.58,Telefonica Germany,DE,0,6805.0,0,0,90,0,unknown
164.215.110.6,,GB,0,,0,0,90,0,unknown
54.225.160.88,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
158.181.209.203,Mega-Line Ltd.,KG,0,41750.0,0,0,90,0,unknown
216.58.213.104,GOOGLE,US,0,15169.0,0,0,23,67,benign
23.0.39.242,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
5.39.76.37,OVH SAS,FR,0,16276.0,0,0,90,0,unknown
52.5.160.47,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
216.58.208.67,GOOGLE,US,0,15169.0,0,0,29,61,benign
65.55.223.23,MICROSOFT-CORP-MSN-AS-BLOCK,US,0,8075.0,0,0,90,0,unknown
173.194.116.60,GOOGLE,US,0,15169.0,0,0,90,0,unknown
41.58.20.16,SWIFTNG-ASN,NG,0,36923.0,0,0,90,0,unknown
88.221.15.88,Akamai International B.V.,NL,0,20940.0,0,0,90,0,unknown
52.71.139.178,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
196.216.220.2,MICG,SL,0,327903.0,0,0,90,0,unknown
23.65.41.138,AKAMAI-AS,US,0,16625.0,0,0,90,0,unknown
80.234.32.202,Rostelecom,RU,0,12389.0,0,0,90,0,unknown
90.154.78.235,Rostelecom,RU,0,42610.0,0,0,90,0,unknown
74.125.202.157,GOOGLE,US,0,15169.0,0,0,90,0,unknown
177.73.167.32,SM Networks,BR,0,262571.0,0,0,90,0,unknown
202.9.94.100,Squiz Pty Ltd,AU,0,55532.0,0,0,90,0,unknown
79.114.70.97,RCS & RDS,RO,0,8708.0,0,0,90,0,unknown
79.116.218.95,Digi Spain Telecom S.l.u.,ES,0,57269.0,0,0,90,0,unknown
184.72.234.198,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
104.16.26.235,CLOUDFLARENET,,0,13335.0,0,0,25,65,benign
52.19.114.209,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
52.29.212.156,AMAZON-02,DE,0,16509.0,0,0,90,0,unknown
52.20.16.126,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
216.58.208.226,GOOGLE,US,0,15169.0,0,0,23,67,benign
46.166.188.240,NForce Entertainment B.V.,NL,0,43350.0,0,0,43,47,unknown
23.235.46.175,,US,0,,0,0,90,0,unknown
92.42.227.181,,DE,0,,0,0,90,0,unknown
191.222.152.41,V tal,BR,0,8167.0,0,0,90,0,unknown
76.115.229.246,COMCAST-7922,US,0,7922.0,0,0,90,0,unknown
216.58.210.46,GOOGLE,US,0,15169.0,0,0,24,66,benign
82.166.181.201,Cellcom Fixed Line Communication L.P,IL,0,1680.0,0,0,90,0,unknown
77.123.31.180,Limited Liability Company KYIVSKI TELEKOMUNIKATSIYNI MEREZHI,UA,0,25229.0,0,0,90,0,unknown
46.166.188.209,NForce Entertainment B.V.,NL,0,43350.0,0,0,90,0,unknown
31.13.92.3,FACEBOOK,IE,0,32934.0,0,0,34,56,benign
199.59.149.243,TWITTER,US,0,13414.0,0,0,90,0,unknown
23.222.28.26,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
52.0.128.127,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
5.166.57.17,JSC ER-Telecom Holding,RU,0,51604.0,0,0,90,0,unknown
54.169.125.186,AMAZON-02,SG,0,16509.0,0,0,24,66,benign
86.18.117.12,Virgin Media,GB,0,5089.0,0,0,90,0,unknown
175.101.87.66,Excellmedia,IN,0,17754.0,0,0,90,0,unknown
190.179.202.203,Telefonica de Argentina,AR,0,22927.0,0,0,90,0,unknown
5.19.138.229,JSC ER-Telecom Holding,RU,0,41733.0,0,0,90,0,unknown
201.215.8.105,VTR BANDA ANCHA S.A.,CL,0,22047.0,0,0,90,0,unknown
74.125.226.42,GOOGLE,US,0,15169.0,0,0,90,0,unknown
104.16.24.35,CLOUDFLARENET,,0,13335.0,0,0,33,57,benign
74.125.136.149,GOOGLE,US,0,15169.0,0,0,23,67,benign
64.201.244.58,PAXIO-SFBA,US,0,36734.0,0,0,90,0,unknown
37.187.17.185,OVH SAS,FR,0,16276.0,0,0,90,0,unknown
186.212.111.138,TELEFONICA BRASIL S.A,BR,0,18881.0,0,0,90,0,unknown
173.194.112.59,GOOGLE,US,0,15169.0,0,0,90,0,unknown
46.33.203.117,Crnogorski Telekom a.d.Podgorica,ME,0,8585.0,0,0,90,0,unknown
54.213.184.64,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
54.239.192.91,,US,0,,0,0,90,0,unknown
192.132.33.31,BIDTELLECT,US,0,18568.0,0,0,90,0,unknown
189.183.252.250,UNINET,MX,0,8151.0,0,0,90,0,unknown
54.209.164.1,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
173.194.112.100,GOOGLE,US,0,15169.0,0,0,90,0,unknown
195.50.84.222,LEVEL3,GB,0,3356.0,0,0,90,0,unknown
46.139.248.99,Magyar Telekom plc.,HU,0,5483.0,0,0,90,0,unknown
52.6.117.70,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
91.152.43.162,Elisa Oyj,FI,0,719.0,0,0,90,0,unknown
74.125.170.208,GOOGLE,US,0,15169.0,0,0,90,0,unknown
88.172.102.147,Free SAS,FR,0,12322.0,0,0,90,0,unknown
54.192.131.14,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
79.36.122.165,Telecom Italia,IT,0,3269.0,0,0,90,0,unknown
185.31.19.84,,GB,0,,0,0,90,0,unknown
109.201.133.100,NForce Entertainment B.V.,NL,-18,43350.0,8,4,18,60,benign
103.57.243.6,INDINET SERVICE PRIVATE LIMITED,IN,0,132115.0,0,0,90,0,unknown
54.243.176.238,AMAZON-AES,US,0,14618.0,0,0,30,60,benign
186.89.86.142,"CANTV Servicios, Venezuela",VE,0,8048.0,0,0,90,0,unknown
23.32.99.182,AKAMAI-AS,DE,0,16625.0,0,0,90,0,unknown
72.201.93.15,ASN-CXA-ALL-CCI-22773-RDC,US,0,22773.0,0,0,90,0,unknown
54.192.202.102,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
83.169.59.64,PlusServer GmbH,DE,0,61157.0,0,0,26,64,benign
37.252.162.52,ASN-APPNEX,NL,0,29990.0,0,0,26,64,benign
173.194.112.105,GOOGLE,US,0,15169.0,0,0,90,0,unknown
175.157.155.167,Dialog Axiata PLC.,LK,0,18001.0,0,0,90,0,unknown
216.58.211.98,GOOGLE,US,0,15169.0,0,0,23,67,benign
10.152.152.11,,,0,,0,0,25,65,benign
23.66.18.162,AKAMAI-AS,NL,0,16625.0,0,0,90,0,unknown
41.107.5.206,Telecom Algeria,DZ,0,36947.0,0,0,90,0,unknown
54.192.98.128,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
69.51.220.14,ASN01-SOGE,CA,0,4540.0,0,0,90,0,unknown
173.194.112.12,GOOGLE,US,0,15169.0,0,0,90,0,unknown
79.100.5.247,Vivacom Bulgaria EAD,BG,0,8866.0,0,0,90,0,unknown
113.199.248.118,"Nepal Telecommunications Corporation, Internet Services",NP,0,23752.0,0,0,31,59,benign
173.194.116.185,GOOGLE,US,0,15169.0,0,0,90,0,unknown
67.180.216.245,COMCAST-7922,US,0,7922.0,0,0,90,0,unknown
31.186.231.25,Unitas Global Ltd,GB,0,15570.0,0,0,90,0,unknown
92.253.4.100,Jordan Data Communications Company LLC,JO,0,8376.0,0,0,90,0,unknown
216.52.92.112,INTERNAP-BLK3,US,0,13789.0,0,0,90,0,unknown
23.235.37.134,FASTLY,US,0,54113.0,0,0,89,1,unknown
54.192.76.55,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
2.22.9.114,AKAMAI-AS,IT,0,16625.0,0,0,90,0,unknown
82.53.34.45,Telecom Italia,IT,0,3269.0,0,0,90,0,unknown
87.222.53.226,Orange Espagne SA,ES,0,12479.0,0,0,90,0,unknown
105.155.105.187,MT-MPLS,MA,0,36903.0,0,0,90,0,unknown
54.243.29.51,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
64.233.177.120,GOOGLE,US,0,15169.0,0,0,29,61,benign
92.137.152.250,Orange,FR,0,3215.0,0,0,90,0,unknown
212.120.211.242,Hamara System Tabriz Engineering Company,IR,0,47262.0,0,0,90,0,unknown
31.3.193.25,Private Joint Stock Company Datagroup,UA,0,197743.0,0,0,90,0,unknown
197.44.174.96,TE Data,EG,0,8452.0,0,0,90,0,unknown
23.235.43.68,,DE,0,,0,0,90,0,unknown
46.166.186.217,NForce Entertainment B.V.,NL,0,43350.0,0,0,90,0,unknown
117.248.129.232,National Internet Backbone,IN,0,9829.0,0,0,90,0,unknown
95.211.174.103,LeaseWeb Netherlands B.V.,NL,0,60781.0,0,0,90,0,unknown
50.18.250.175,AMAZON-02,US,0,16509.0,0,0,26,64,benign
81.17.20.66,Private Layer INC,CH,0,51852.0,2,0,24,64,benign
54.182.216.8,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
58.107.1.133,Microplex PTY LTD,AU,0,4804.0,0,0,90,0,unknown
37.48.116.49,LeaseWeb Netherlands B.V.,NL,0,60781.0,0,0,90,0,unknown
179.111.220.134,TELEFONICA BRASIL S.A,BR,0,27699.0,0,0,90,0,unknown
173.194.40.132,GOOGLE,US,0,15169.0,0,0,24,66,benign
173.241.240.221,,US,0,,0,0,90,0,unknown
94.51.12.67,Rostelecom,RU,0,12389.0,0,0,90,0,unknown
106.186.114.224,KDDI CORPORATION,JP,0,2516.0,0,0,90,0,unknown
187.171.183.49,UNINET,MX,0,8151.0,0,0,90,0,unknown
188.93.174.114,LU-CIX Management GIE,LU,0,210834.0,0,0,90,0,unknown
